86, 231, 750, 771, 840, 1132, 1133, 1358, 1888, 1891, 1998, 2095, 2190, 2448, 2516, 2919, 3258, 3307, 3397, 3422
1320, 1357, 2527, 2650, 3875, 4651, 5146, 5799, 10933, 12277, 14735, 15483, 17333, 17952, 21739, 33988, 35938, 40378, 40455, 44247
198255, 258570, 284236, 43806, 256014, 272690, 267547, 261803, 265608, 273288, 270755, 285492, 267550, 256025, 295092, 300884, 265622, 272024, 268170, 270748
283543, 271383, 296363, 260499, 255381, 267543, 270731, 257931, 259861, 268197, 267537, 265615, 284217, 267547, 285499, 243203, 283585, 289989, 277801, 283563
31232, 288013, 288641, 282885, 286741, 281615, 283539, 294407, 284813, 302111, 284171, 303393, 284823, 294411, 291209, 296333, 291207, 291849, 299535, 295707
31232, 65757, 65117, 39529, 77279, 65755, 66395, 75999, 75997, 74717, 74079, 75998, 65115, 75357, 24826, 78559, 67035, 65756, 40169, 25466
31232, 47833, 48473, 93887, 93889, 113777, 56811, 90775, 46547, 45907, 93339, 49107, 92607, 91417, 49109, 120191, 54957, 48467, 14603, 94529
31232, 92651, 96491, 92011, 94571, 90729, 93931, 95851, 97771, 95211, 53577, 90089, 54859, 95212, 50375, 92013, 52937, 41455, 96490, 90090
31232, 78535, 58721, 79813, 79174, 78534, 98441, 123907, 79814, 60001, 79173, 84993, 83713, 76617, 79175, 98427, 116339, 115065, 61933, 60641
31232, 86865, 81745, 86225, 81105, 86864, 82385, 81747, 81107, 82384, 72149, 72789, 81744, 83664, 74707, 71509, 81746, 86226, 83023, 87505
31232, 55501, 55505, 58703, 54863, 56141, 96481, 54865, 96487, 89433, 58063, 93927, 56143, 28061, 94563, 56145, 104769, 94567, 53585, 95847
31232, 55501, 58703, 53585, 55505, 56141, 96487, 54863, 90071, 94569, 58063, 53583, 93927, 56145, 54865, 95841, 90711, 58062, 56783, 54225
31232, 60707, 26087, 66395, 52979, 61985, 79193, 65719, 28005, 60625, 70301, 65755, 81749, 67001, 70303, 83031, 54893, 66394, 82395, 82389
31232, 36365, 37005, 176841, 176197, 35725, 174915, 93279, 40149, 175555, 39509, 40150, 68885, 36364, 175557, 37004, 178755, 176201, 176196, 93917
31232, 90713, 48479, 43359, 42081, 90711, 91985, 42723, 90069, 40803, 39519, 92631, 44001, 55543, 91353, 42083, 90071, 95795, 40159, 67009
31232, 101611, 100971, 100969, 101610, 100970, 103531, 102251, 88203, 101609, 102891, 88201, 104171, 100331, 86923, 86284, 69611, 87561, 88842, 104169
31232, 83713, 86911, 85631, 75289, 61323, 58063, 113765, 86912, 85633, 58107, 84992, 44605, 98387, 84355, 113767, 72085, 77945, 58108, 99027
31232, 24829, 81145, 92037, 79833, 70283, 27329, 27969, 71563, 27339, 27973, 62503, 27975, 26061, 27977, 77277, 25421, 80505, 75997, 103485
31232, 88783, 118885, 25467, 89425, 88784, 120165, 91347, 118887, 91348, 91349, 88785, 88143, 26747, 117609, 119525, 88145, 116964, 90707, 118245
31232, 106097, 60615, 106737, 105457, 27407, 89481, 47217, 102263, 25485, 36291, 26123, 90121, 77907, 82417, 74069, 89479, 28047, 62531, 75987
31232, 78549, 74071, 76631, 77911, 49101, 88173, 77271, 78550, 86895, 49103, 77269, 78548, 49105, 87535, 25523, 75991, 77909, 181993, 67033
31232, 55541, 80463, 54261, 81103, 58101, 61943, 56181, 25463, 61255, 54901, 57461, 81105, 26105, 79824, 81743, 56821, 42729, 54903, 76626
31232, 107971, 58163, 79839, 58679, 81119, 113133, 36953, 84939, 112491, 81759, 105495, 83675, 86219, 83053, 79841, 98409, 82409, 59445, 91403
31232, 88141, 87501, 86861, 87499, 87503, 58747, 64469, 87500, 88139, 88781, 79195, 65109, 77283, 84943, 83665, 113155, 86219, 105435, 87502
31232, 36317, 34399, 33119, 75349, 37597, 38245, 36323, 67673, 117525, 86229, 34401, 194751, 26095, 114963, 97163, 114323, 35685, 65759, 74709
31232, 81119, 79199, 60619, 81117, 78559, 83061, 77969, 79201, 78515, 78535, 80477, 106099, 90107, 77917, 77875, 83034, 78558, 82993, 80433
31232, 81735, 81097, 83015, 81095, 80457, 81087, 81088, 83007, 79835, 78535, 82375, 26704, 82369, 33781, 109303, 34387, 104815, 80449, 79814
31232, 93895, 94537, 90695, 91337, 93897, 90697, 87507, 94535, 93894, 93257, 90693, 61263, 85593, 93256, 86867, 90731, 94536, 63169, 90053
31232, 95227, 93307, 94587, 95863, 95867, 98415, 92027, 95861, 95221, 96502, 94581, 92667, 95859, 95226, 96501, 98421, 94583, 95869, 75397
31232, 37655, 64501, 66361, 102190, 102191, 68345, 45285, 65087, 99633, 97077, 100913, 66425, 101549, 26113, 101009, 65143, 37015, 37656, 100911
31232, 84301, 71477, 81100, 80463, 70835, 86861, 69556, 78542, 70196, 83022, 83019, 83661, 70197, 71475, 78541, 83662, 88141, 79175, 87501
31232, 76689, 76615, 62531, 77897, 52979, 96481, 95199, 99685, 74697, 75977, 76051, 74131, 77895, 97121, 90713, 74773, 76688, 77255, 28031
31232, 53631, 52357, 52351, 79223, 83653, 82373, 56173, 53632, 82395, 24955, 24783, 83013, 26233, 24953, 52355, 52991, 52353, 88129, 52993
31232, 29315, 28675, 28035, 27399, 27394, 28033, 26753, 24799, 26119, 26113, 30597, 28034, 31233, 30599, 59981, 29955, 26755, 26117, 107981
31232, 26111, 25475, 25471, 26109, 26112, 59975, 26107, 81763, 109953, 61275, 25470, 24833, 76593, 81747, 77231, 24835, 26747, 73471, 26752
31232, 69609, 81759, 79839, 91363, 51049, 91367, 68969, 70249, 84319, 80479, 70889, 84327, 79199, 51689, 52967, 91365, 186389, 85609, 80481
31232, 106737, 62545, 109299, 25421, 26062, 60623, 113177, 100297, 61265, 78619, 115051, 114411, 107377, 189667, 95819, 107379, 78563, 113770, 281603
31232, 59397, 107377, 56839, 64431, 107369, 107370, 106731, 109289, 107373, 58759, 58123, 58122, 108013, 106739, 60041, 107367, 108653, 63153, 48437
31232, 91319, 74087, 89403, 91959, 83649, 90721, 87481, 86901, 88763, 85619, 89401, 92021, 93935, 84342, 83009, 26721, 89402, 93299, 190273
31232, 75355, 75993, 63233, 190295, 65152, 83045, 76633, 83655, 83659, 64511, 106725, 65791, 83653, 83685, 75997, 83019, 75356, 83661, 88145
31232, 89475, 88837, 99669, 91393, 89476, 88839, 88835, 112499, 90757, 92677, 88197, 91401, 91395, 110579, 90117, 88836, 111217, 93957, 109301
31232, 65795, 88151, 87507, 86869, 56783, 65797, 87509, 56779, 65157, 26113, 63235, 83069, 39501, 57423, 88789, 57417, 89431, 88147, 88791
31232, 174263, 105453, 108019, 72809, 104817, 105457, 108663, 108659, 83767, 72169, 58763, 173623, 102889, 43351, 42087, 106097, 102249, 33145, 110567
31232, 109313, 107395, 111231, 80477, 106049, 111867, 109953, 110591, 282889, 107396, 99079, 79195, 83035, 84981, 108673, 79839, 84303, 282893, 97799
31232, 61253, 54229, 58073, 59987, 53589, 60627, 63173, 55509, 89441, 27513, 67639, 61893, 58709, 58069, 56149, 57431, 66999, 59347, 58067
31232, 28035, 97129, 111157, 26115, 26755, 28675, 90107, 29313, 60589, 68945, 110515, 111795, 35723, 27399, 77911, 26753, 26754, 35083, 36363
31232, 169599, 130557, 154869, 170237, 136315, 138871, 140793, 161919, 171513, 126079, 136959, 175357, 170877, 144635, 136319, 180465, 151039, 140139, 140153
96573, 78065, 92159, 67175, 130557, 143344, 276352, 87031, 63359, 78698, 136316, 87654, 52457, 36479, 67833, 86399, 63987, 76149, 140153, 103039
96573, 198255, 240702, 201619, 290011, 236826, 17897, 230411, 197781, 8934, 28761, 282950, 275218, 293146, 194574, 8249, 265686, 213124, 280990, 267644
96573, 162555, 71015, 95345, 83819, 8249, 17897, 86392, 117747, 168952, 124113, 142079, 140159, 180465, 115152, 84449, 28131, 71027, 125414, 88945
63999, 63987, 67833, 96573, 71679, 62709, 73587, 54395, 72297, 67829, 64633, 66549, 67835, 53113, 80631, 69113, 74229, 61431, 73589, 76149
