0001,499.782427458,35.4051462052,51.7674071272,14.4228610575,38.2667250728
0002,493.014238864,30.7529612234,47.5556669261,8.70009716755,28.9850235651
0003,497.707401351,32.1025826416,51.8611583658,7.25305281396,31.80119842
0004,493.75239675,33.6991979613,37.5482768333,7.09385499432,32.1530403795
0005,500.195908406,33.4273722938,48.9031577841,11.1152700275,37.174381857
0006,506.079268339,35.3644774087,37.2380546072,11.5658286284,37.6370901539
0007,505.02538775,31.1316822757,37.577656738,5.01298893876,30.4614137749
0008,493.104847889,35.5196554569,75.9588658351,24.756326218,35.0283189939
0009,484.229255454,30.4145195828,44.6573120933,7.00610286237,32.0143692964
0011,518.796407961,35.4390511643,36.2998050294,5.20603567258,36.153197425
0012,492.464954059,32.6541414853,76.5768378844,11.9260593922,33.9199327877
0015,501.841252535,30.7404515372,67.290821702,11.2125130969,33.3238445211
0016,502.697478164,31.9000279641,75.6930292756,11.7956348599,29.3914503837
0017,491.387435606,32.5427486257,81.4779751494,12.3385908876,29.8285693299
0018,490.89102623,32.8350679051,50.2865207318,9.79558824625,30.7459676297
0019,498.319474745,34.1033239437,99.2069520324,23.4416930874,31.2263986197
0020,470.046961965,31.0930146571,76.4749867323,13.8032235976,35.7713422095
0021,502.883799565,34.9915541488,85.1351601287,15.2418525721,30.0604718735
0201,518.452553412,34.614993481,37.8488168473,7.50557319937,40.5350630678
0205,526.512620469,32.6761649435,73.2426241795,7.5032975513,37.5962336555
0211,536.393761865,35.0959901845,42.8088653298,10.5147051063,41.8248167734
0213,507.954759308,32.9439256324,27.5173235257,12.7154449605,39.1800959933
0361,319.389375798,20.5110367528,83.1113771842,25.0131314369,23.8889066557
